Block,RGP,Treatment,RosDam,EarlyMow,LateMow,FinCap,FinMatureCap,FloweringDate_doe,FloweringDate_doy,HeightatFlowering,MaxCapitula,MaxCapitulaIncPreTrtSeedProducers,MaxHeight,LLLApr30,NoStemsFinal,NoStemsApr30
2,913,Rosette Damage/Late Mow,y,n,y,0,0,,,,0,0,5,17,0,1
2,914,Control,n,n,n,21,20,54,174,96,20,20,116,18,1,1
2,931,Rosette Damage/Early Mow/Late Mow,y,y,y,16,13,68,188,92,13,13,102,30,4,1
2,932,Rosette Damage/Early Mow,y,y,n,11,10,61,181,90,10,10,102,27,3,1
2,933,Early Mow,n,y,n,48,43,61,181,112,43,43,131,36,6,1
2,934,Late Mow,n,n,y,16,14,68,188,57,14,14,59,28,6,1
2,951,Rosette Damage/Early Mow,y,y,n,5,4,61,181,69,4,4,86,26,3,1
2,952,Control,n,n,n,19,17,48,168,122,17,17,140,20,1,1
2,953,Late Mow,n,n,y,5,3,61,181,56,3,3,65,24,2,1
2,954,Rosette Damage/Late Mow,y,n,y,0,0,,,,0,0,5,21,0,1
2,971,Rosette Damage,y,n,n,12,9,54,174,113,9,9,118,14,2,2
2,972,Control,n,n,n,43,37,54,174,101,37,37,103,22,1,1
2,973,Early Mow/Late Mow,n,y,y,15,14,61,181,83,14,14,83,30,4,1
2,974,Rosette Damage/Early Mow/Late Mow,y,y,y,4,1,83,203,45,1,1,49,33,1,1
2,1021,Rosette Damage/Early Mow/Late Mow,y,y,y,0,0,,,,0,0,5,21,0,1
2,1022,Rosette Damage/Early Mow,y,y,n,10,10,68,188,94,10,10,95,25,3,1
2,1023,Late Mow,n,n,y,0,0,,,,0,0,8,28,0,1
2,1024,Early Mow/Late Mow,n,y,y,16,15,61,181,91,15,15,91,33,7,1
2,1041,Rosette Damage,y,n,n,24,23,54,174,120,23,23,123,22,2,1
2,1042,Control,n,n,n,6,6,54,174,104,6,6,107,22,3,1
2,1043,Early Mow/Late Mow,n,y,y,0,0,,,,0,0,19,14,0,1
2,1044,Rosette Damage/Late Mow,y,n,y,0,0,,,,0,0,5,11,0,1
2,1061,Early Mow/Late Mow,n,y,y,14,14,68,188,80,14,14,87,23,7,1
2,1062,Early Mow,n,y,n,14,13,61,181,80,13,13,96,27,5,1
2,1063,Rosette Damage,y,n,n,25,25,48,168,128,25,25,139,26,2,2
2,1064,Rosette Damage/Early Mow/Late Mow,y,y,y,0,0,,,,0,0,5,12,0,1
2,1081,Early Mow,n,y,n,22,16,68,188,95,16,16,95,25,5,2
2,1082,Rosette Damage/Late Mow,y,n,y,0,0,,,,0,0,18,33,0,1
2,1083,Rosette Damage/Early Mow,y,y,n,3,3,68,188,55,3,3,60,22,2,2
2,1084,Late Mow,n,n,y,7,1,83,203,32,1,1,32,33,3,2
2,1111,Early Mow/Late Mow,n,y,y,6,5,68,188,87,5,5,89,22,2,1
2,1112,Rosette Damage/Early Mow,y,y,n,17,15,61,181,98,15,15,112,27,3,2
2,1113,Rosette Damage/Late Mow,y,n,y,0,0,,,,0,0,5,18,0,1
2,1114,Early Mow,n,y,n,6,6,76,196,65,6,6,83,24,2,1
2,1131,Control,n,n,n,18,18,48,168,153,18,18,155,22,3,3
2,1132,Rosette Damage/Early Mow/Late Mow,y,y,y,4,4,83,203,42,4,4,49,22,3,2
2,1133,Late Mow,n,n,y,0,0,,,,0,0,5,18,0,2
2,1134,Rosette Damage,y,n,n,20,19,48,168,117,19,19,129,25,2,1
2,1151,Control,n,n,n,19,19,54,174,135,19,19,148,24,1,1
2,1152,Rosette Damage/Early Mow/Late Mow,y,y,y,0,0,,,,0,0,8,25,0,1
2,1153,Rosette Damage/Late Mow,y,n,y,0,0,,,,0,0,7,26,0,2
2,1154,Late Mow,n,n,y,13,13,68,188,88,13,13,107,31,4,1
2,1171,Early Mow/Late Mow,n,y,y,3,2,76,196,61,2,2,61,21,3,1
2,1172,Late Mow,n,n,y,13,13,68,188,94,13,13,97,28,3,1
2,1173,Rosette Damage/Early Mow,y,y,n,0,0,,,,0,0,11,17,0,1
2,1174,Rosette Damage/Early Mow/Late Mow,y,y,y,15,9,68,188,96,9,9,111,33,5,1
2,1221,Control,n,n,n,102,87,48,168,168,87,87,201,41,2,1
2,1222,Rosette Damage/Early Mow/Late Mow,y,y,y,4,3,68,188,92,3,3,92,43,1,2
2,1223,Late Mow,n,n,y,8,8,68,188,98,8,8,101,40,2,2
2,1224,Rosette Damage,y,n,n,56,52,48,168,168,52,52,194,33,1,1
2,1241,Rosette Damage/Late Mow,y,n,y,1,1,,,,1,1,32,26,1,1
2,1242,Early Mow/Late Mow,n,y,y,26,23,68,188,111,23,23,120,26,2,1
2,1243,Rosette Damage/Early Mow,y,y,n,11,10,61,181,85,10,10,92,32,2,1
2,1244,Early Mow,n,y,n,25,20,61,181,88,20,20,102,33,5,1
2,1261,Rosette Damage,y,n,n,37,37,54,174,135,37,37,157,34,2,2
2,1262,Rosette Damage/Early Mow,y,y,n,9,7,68,188,74,7,7,90,27,3,1
2,1263,Early Mow,n,y,n,28,24,61,181,117,24,24,133,32,6,1
2,1264,Early Mow/Late Mow,n,y,y,3,2,83,203,72,2,2,87,18,2,1
2,1281,Control,n,n,n,65,56,54,174,138,56,56,150,36,6,1
2,1282,Rosette Damage/Late Mow,y,n,y,1,1,68,188,50,1,1,50,22,1,1
2,1283,Early Mow,n,y,n,26,26,61,181,117,26,26,131,34,7,1
2,1284,Rosette Damage,y,n,n,33,26,48,168,120,26,26,142,36,2,2
