Year,Block,RGP,Treatment,Capitulum,AvgCapDia
2024,1,712,Control,15,1.9
2024,1,712,Control,16,2.35
2024,1,713,Early Mow/Late Mow,,
2024,1,714,Late Mow,,
2024,2,731,Early Mow/Late Mow,2,2.45
2024,2,732,Early Mow/Late Mow,1,1.1
2024,2,732,Early Mow,2,1
2024,2,732,Early Mow,3,1.35
2024,2,732,Early Mow,4,1.25
2024,2,732,Early Mow,5,2.35
2024,2,732,Early Mow,6,1.7
2024,2,733,Rosette Damage,1,1.85
2024,2,733,Rosette Damage,2,3.05
2024,2,733,Rosette Damage,3,2.4
2024,2,733,Rosette Damage,4,3.4
2024,2,733,Rosette Damage,5,1.35
2024,2,733,Rosette Damage,6,2.55
2024,2,733,Rosette Damage,7,1.4
2024,2,733,Rosette Damage,8,1.45
2024,2,733,Rosette Damage,9,3.1
2024,2,733,Rosette Damage,10,3.45
2024,2,734,Rosette Damage/Early Mow,2,1.3
2024,2,734,Rosette Damage/Early Mow,3,2.3
2024,2,734,Rosette Damage/Early Mow,4,1.7
2024,2,734,Rosette Damage/Early Mow,5,1.85
2024,3,751,Rosette Damage/Late Mow,,
2024,3,752,Control,1,4.5
2024,3,752,Control,2,3.9
2024,3,752,Control,3,2.7
2024,3,752,Control,4,3.3
2024,3,752,Control,5,4.5
2024,3,752,Control,6,2.05
2024,3,752,Control,7,2.3
2024,3,752,Control,8,4.45
2024,3,752,Control,9,2.3
2024,3,752,Control,10,1.9
2024,3,752,Control,11,2.3
2024,3,753,Rosette Damage/Early Mow/Late Mow,1,1.2
2024,3,753,Rosette Damage/Early Mow/Late Mow,2,1.15
2024,3,754,Rosette Damage/Early Mow,1,0.7
2024,3,754,Rosette Damage/Early Mow,2,0.7
2024,3,754,Rosette Damage/Early Mow,3,1.1
2024,3,754,Rosette Damage/Early Mow,4,1.35
2024,3,754,Rosette Damage/Early Mow,5,2.05
2024,3,754,Rosette Damage/Early Mow,6,2.2
2024,4,771,Early Mow,1,1.3
2024,4,771,Early Mow,2,2.15
2024,4,771,Early Mow,3,1.75
2024,4,772,Rosette Damage/Late Mow,,
2024,4,773,Rosette Damage,1,0.9
2024,4,773,Rosette Damage,1,1.8
2024,4,773,Rosette Damage,2,1.3
2024,4,773,Rosette Damage,3,1.6
2024,4,773,Rosette Damage,5,1.3
2024,4,773,Rosette Damage,6,2.65
2024,4,773,Rosette Damage,7,3.35
2024,4,773,Rosette Damage,8,2.9
2024,4,773,Rosette Damage,9,3.05
2024,4,773,Rosette Damage,10,3.05
2024,1,821,Rosette Damage/Early Mow,2,1.5
2024,1,822,Early Mow,3,1.65
2024,1,822,Early Mow,4,1.35
2024,1,822,Early Mow,5,1.7
2024,1,823,Rosette Damage/Late Mow,1,1.15
2024,1,823,Rosette Damage/Late Mow,2,1.05
2024,1,824,Rosette Damage/Early Mow/Late Mow,2,1.3
2024,2,841,Rosette Damage/Early Mow/Late Mow,4,1.8
2024,2,842,Late Mow,5,1.9
2024,2,842,Late Mow,6,1.75
2024,2,842,Late Mow,7,1.95
2024,2,843,Rosette Damage/Late Mow,,
2024,2,844,Control,1,0.75
2024,2,844,Control,2,0.85
2024,2,844,Control,3,1
2024,2,844,Control,4,2.55
2024,2,844,Control,5,1.9
2024,2,844,Control,6,2.95
2024,2,844,Control,7,1.75
2024,2,844,Control,8,2.7
2024,2,844,Control,9,2.95
2024,2,844,Control,10,2
2024,2,844,Control,11,2.2
2024,2,844,Control,12,2.45
2024,2,844,Control,13,2.25
2024,2,844,Control,14,2.35
2024,2,844,Control,15,1.5
2024,2,844,Control,16,2.4
2024,3,861,Late Mow,1,0.35
2024,3,861,Late Mow,2,0.5
2024,3,862,Rosette Damage,1,0.9
2024,3,862,Rosette Damage,2,1.1
2024,3,862,Rosette Damage,3,1.6
2024,3,862,Rosette Damage,4,2.25
2024,3,862,Rosette Damage,5,2.1
2024,3,862,Rosette Damage,6,2.75
2024,3,862,Rosette Damage,7,2.25
2024,3,862,Rosette Damage,8,2.65
2024,3,862,Rosette Damage,9,1.85
2024,3,862,Rosette Damage,10,3.15
2024,3,862,Rosette Damage,11,2.3
2024,3,862,Rosette Damage,12,1.65
2024,3,863,Early Mow,1,0.45
2024,3,864,Early Mow/Late Mow,1,0.9
2024,3,864,Early Mow/Late Mow,2,0.65
2024,3,864,Early Mow/Late Mow,3,0.75
2024,4,881,Rosette Damage/Early Mow,1,2.3
2024,4,881,Rosette Damage/Early Mow,2,2.1
2024,4,881,Rosette Damage/Early Mow,3,2.35
2024,4,881,Rosette Damage/Early Mow,4,1.65
2024,4,884,Late Mow,,
2024,1,911,Late Mow,,
2024,1,912,Rosette Damage/Late Mow,,
2024,1,913,Control,1,0.75
2024,1,913,Control,2,2.15
2024,1,913,Control,3,2.3
2024,1,913,Control,4,2.15
2024,1,913,Control,5,1.6
2024,1,914,Early Mow/Late Mow,2,1.35
2024,2,931,Rosette Damage/Early Mow,3,1.2
2024,2,931,Rosette Damage/Early Mow,4,1.15
2024,2,931,Rosette Damage/Early Mow,5,1.15
2024,2,931,Rosette Damage/Early Mow,6,2.15
2024,2,931,Rosette Damage/Early Mow,7,1.8
2024,2,931,Rosette Damage/Early Mow,8,1.85
2024,2,931,Rosette Damage/Early Mow,9,2.6
2024,2,931,Rosette Damage/Early Mow,10,2.3
2024,2,931,Rosette Damage/Early Mow,11,1.45
2024,2,931,Rosette Damage/Early Mow,12,1.9
2024,2,931,Rosette Damage/Early Mow,13,2.2
2024,2,931,Rosette Damage/Early Mow,14,1.65
2024,2,931,Rosette Damage/Early Mow,15,1.9
2024,2,932,Control,2,2.95
2024,2,932,Control,3,2.45
2024,2,932,Control,4,2.7
2024,2,932,Control,5,1.5
2024,2,932,Control,6,1.95
2024,2,932,Control,7,2.2
2024,2,932,Control,8,2.1
2024,2,932,Control,9,2.5
2024,2,932,Control,10,2.3
2024,2,932,Control,11,3
2024,2,933,Early Mow/Late Mow,2,0.7
2024,2,933,Early Mow/Late Mow,3,2.4
2024,2,933,Early Mow/Late Mow,4,1.75
2024,2,933,Early Mow/Late Mow,5,0.8
2024,2,933,Early Mow/Late Mow,6,1.95
2024,2,933,Early Mow/Late Mow,7,1.55
2024,2,934,Early Mow,1,1.6
2024,2,934,Early Mow,4,0.95
2024,2,934,Early Mow,5,1.25
2024,2,934,Early Mow,6,1.9
2024,2,934,Early Mow,8,1.4
2024,2,934,Early Mow,9,1.85
2024,3,951,Rosette Damage/Early Mow/Late Mow,1,1.85
2024,3,951,Rosette Damage/Early Mow/Late Mow,2,1.8
2024,3,952,Control,1,2.15
2024,3,952,Control,2,3.2
2024,3,952,Control,3,3.35
2024,3,952,Control,4,1.15
2024,3,952,Control,5,1.35
2024,3,952,Control,6,3.7
2024,3,952,Control,7,2.4
2024,3,952,Control,8,1.2
2024,3,952,Control,9,2.7
2024,3,952,Control,10,3.4
2024,3,952,Control,11,2.6
2024,3,953,Rosette Damage/Late Mow,,
2024,3,954,Early Mow/Late Mow,2,2.25
2024,3,954,Early Mow/Late Mow,3,2.35
2024,3,954,Early Mow/Late Mow,4,2.45
2024,4,971,Rosette Damage/Early Mow/Late Mow,1,1.3
2024,4,971,Rosette Damage/Early Mow/Late Mow,2,1.75
2024,4,971,Rosette Damage/Early Mow/Late Mow,3,2.9
2024,4,972,Rosette Damage/Early Mow,2,1.95
2024,4,972,Rosette Damage/Early Mow,3,2
2024,4,972,Rosette Damage/Early Mow,4,1.85
2024,4,972,Rosette Damage/Early Mow,5,1.1
2024,4,972,Rosette Damage/Early Mow,6,1.25
2024,4,972,Rosette Damage/Early Mow,7,1.3
2024,4,973,Control,1,1.7
2024,4,973,Control,2,3.15
2024,4,973,Control,3,1.9
2024,4,973,Control,4,3.75
2024,4,973,Control,5,2.85
2024,4,973,Control,6,2.4
2024,4,973,Control,7,2.95
2024,4,974,Late Mow,1,1.5
2024,4,974,Late Mow,2,1.8
2024,1,1021,Rosette Damage/Early Mow,1,1.15
2024,1,1021,Rosette Damage/Early Mow,2,0.95
2024,1,1022,Early Mow,2,1.1
2024,1,1022,Early Mow,3,1.35
2024,1,1022,Early Mow,4,1.75
2024,1,1022,Early Mow,5,2.3
2024,1,1023,Rosette Damage,1,0.9
2024,1,1023,Rosette Damage,2,1.7
2024,1,1023,Rosette Damage,3,1.55
2024,1,1023,Rosette Damage,4,2.1
2024,1,1023,Rosette Damage,5,2.3
2024,1,1023,Rosette Damage,6,2.3
2024,1,1023,Rosette Damage,7,2.25
2024,1,1023,Rosette Damage,8,2.95
2024,1,1023,Rosette Damage,9,2.9
2024,1,1023,Rosette Damage,10,1.25
2024,1,1023,Rosette Damage,11,2.45
2024,1,1023,Rosette Damage,12,2.6
2024,1,1024,Rosette Damage/Early Mow/Late Mow,,
2024,2,1041,Rosette Damage,5,0.95
2024,2,1041,Rosette Damage,6,1.15
2024,2,1041,Rosette Damage,7,1.5
2024,2,1041,Rosette Damage,8,3.6
2024,2,1041,Rosette Damage,9,1.9
2024,2,1041,Rosette Damage,10,1.6
2024,2,1041,Rosette Damage,11,2.05
2024,2,1042,Rosette Damage/Late Mow,,
2024,2,1043,Late Mow,,
2024,2,1044,Rosette Damage/Early Mow/Late Mow,2,1.25
2024,3,1061,Late Mow,2,1
2024,3,1061,Late Mow,3,2.6
2024,3,1061,Late Mow,4,1.4
2024,3,1061,Late Mow,5,2.15
2024,3,1062,Rosette Damage/Early Mow,1,0.7
2024,3,1062,Rosette Damage/Early Mow,2,1.45
2024,3,1062,Rosette Damage/Early Mow,3,2.25
2024,3,1062,Rosette Damage/Early Mow,4,2.5
2024,3,1063,Early Mow,1,1.05
2024,3,1063,Early Mow,2,1.05
2024,3,1064,Rosette Damage,2,1.45
2024,3,1064,Rosette Damage,3,3.25
2024,3,1064,Rosette Damage,4,2.95
2024,3,1064,Rosette Damage,5,2.2
2024,4,1081,Early Mow,1,0.6
2024,4,1081,Early Mow,2,1.9
2024,4,1081,Early Mow,3,1.4
2024,4,1081,Early Mow,4,1.3
2024,4,1081,Early Mow,5,1.85
2024,4,1082,Rosette Damage,1,1.15
2024,4,1082,Rosette Damage,2,1.2
2024,4,1082,Rosette Damage,3,1.75
2024,4,1082,Rosette Damage,4,1.95
2024,4,1082,Rosette Damage,5,2.45
2024,4,1082,Rosette Damage,6,2
2024,4,1082,Rosette Damage,7,1.9
2024,4,1082,Rosette Damage,8,2.5
2024,4,1082,Rosette Damage,9,2.65
2024,4,1082,Rosette Damage,10,3
2024,4,1083,Early Mow/Late Mow,3,1.35
2024,4,1083,Early Mow/Late Mow,4,1.5
2024,4,1083,Early Mow/Late Mow,5,2.05
2024,4,1083,Early Mow/Late Mow,6,1.35
2024,4,1083,Early Mow/Late Mow,7,1.65
2024,4,1084,Rosette Damage/Late Mow,,
2025,1,511,Early Mow/Late Mow,1,1.85
2025,1,511,Early Mow/Late Mow,2,2.05
2025,1,511,Early Mow/Late Mow,3,2.05
2025,1,511,Early Mow/Late Mow,4,2.1
2025,1,511,Early Mow/Late Mow,5,1.75
2025,1,511,Early Mow/Late Mow,6,1.65
2025,1,512,Control,1,3.05
2025,1,512,Control,2,1.8
2025,1,512,Control,3,1.4
2025,1,512,Control,4,1
2025,1,512,Control,5,2.2
2025,1,512,Control,6,2.5
2025,1,512,Control,7,1.45
2025,1,512,Control,8,0.8
2025,1,512,Control,9,1.15
2025,1,512,Control,10,1.95
2025,1,512,Control,11,2.2
2025,1,512,Control,12,2.4
2025,1,512,Control,13,2.55
2025,1,512,Control,14,1.45
2025,1,512,Control,15,2.05
2025,1,512,Control,17,1.7
2025,1,512,Control,19,2.25
2025,1,512,Control,20,1.95
2025,1,512,Control,21,0.75
2025,1,512,Control,22,1.95
2025,1,512,Control,23,2.4
2025,1,512,Control,24,1.9
2025,1,512,Control,25,1.15
2025,1,512,Control,26,1.35
2025,1,512,Control,27,1.35
2025,1,512,Control,28,1.5
2025,1,512,Control,29,1.45
2025,1,512,Control,30,2.15
2025,1,512,Control,31,2.15
2025,1,512,Control,32,1.1
2025,1,512,Control,33,2.4
2025,1,512,Control,34,2.2
2025,1,512,Control,35,2.2
2025,1,512,Control,36,1.3
2025,1,512,Control,37,1.65
2025,1,512,Control,38,2.35
2025,1,512,Control,39,2.95
2025,1,513,Late Mow,2,1.6
2025,1,513,Late Mow,3,1.55
2025,1,513,Late Mow,4,1.25
2025,1,513,Late Mow,5,1.85
2025,1,513,Late Mow,6,1.7
2025,1,513,Late Mow,7,1.45
2025,1,514,Rosette Damage/Early Mow/Late Mow,1,1.1
2025,1,514,Rosette Damage/Early Mow/Late Mow,2,1.15
2025,1,551,Rosette Damage/Early Mow/Late Mow,1,1.45
2025,1,551,Rosette Damage/Early Mow/Late Mow,3,1.9
2025,1,551,Rosette Damage/Early Mow/Late Mow,4,1.9
2025,1,551,Rosette Damage/Early Mow/Late Mow,5,1.75
2025,1,551,Rosette Damage/Early Mow/Late Mow,6,2.25
2025,1,551,Rosette Damage/Early Mow/Late Mow,7,0.85
2025,1,551,Rosette Damage/Early Mow/Late Mow,8,1.7
2025,1,551,Rosette Damage/Early Mow/Late Mow,9,1.6
2025,1,551,Rosette Damage/Early Mow/Late Mow,10,1.65
2025,1,551,Rosette Damage/Early Mow/Late Mow,11,1.85
2025,1,551,Rosette Damage/Early Mow/Late Mow,12,2.05
2025,1,551,Rosette Damage/Early Mow/Late Mow,13,2.7
2025,1,552,Rosette Damage/Late Mow,1,2
2025,1,552,Rosette Damage/Late Mow,2,1.8
2025,1,552,Rosette Damage/Late Mow,3,1.5
2025,1,552,Rosette Damage/Late Mow,4,1.85
2025,1,552,Rosette Damage/Late Mow,5,2.1
2025,1,553,Early Mow,1,1.55
2025,1,553,Early Mow,2,1.2
2025,1,553,Early Mow,3,1
2025,1,553,Early Mow,4,1.9
2025,1,553,Early Mow,5,1.6
2025,1,553,Early Mow,6,0.7
2025,1,553,Early Mow,7,1.25
2025,1,553,Early Mow,8,1
2025,1,554,Control,2,2.1
2025,1,554,Control,3,2
2025,1,554,Control,4,1.75
2025,1,554,Control,5,1.65
2025,1,554,Control,6,2.1
2025,1,554,Control,7,1.95
2025,1,554,Control,8,3.05
2025,1,554,Control,9,1.8
2025,1,554,Control,10,1.65
2025,1,554,Control,11,1.55
2025,1,554,Control,12,0.9
2025,1,554,Control,13,1.65
2025,1,554,Control,14,2
2025,1,554,Control,15,1.7
2025,1,554,Control,16,1.15
2025,1,554,Control,17,1.7
2025,1,554,Control,18,1.6
2025,1,554,Control,19,2.35
2025,1,554,Control,20,2.05
2025,1,554,Control,21,2.25
2025,1,554,Control,22,1.25
2025,1,554,Control,23,1.55
2025,1,554,Control,24,1.8
2025,1,554,Control,25,1.55
2025,1,554,Control,26,1.35
2025,1,554,Control,27,1.6
2025,1,554,Control,28,2.8
2025,1,554,Control,30,1.55
2025,1,554,Control,31,1.75
2025,1,554,Control,32,1.4
2025,1,554,Control,33,2.45
2025,1,554,Control,34,1.05
2025,1,554,Control,35,2.15
2025,1,554,Control,36,1.7
2025,1,554,Control,37,1.55
2025,1,554,Control,38,1.2
2025,1,554,Control,39,2.1
2025,1,554,Control,40,1.75
2025,1,554,Control,41,2
2025,1,554,Control,42,1.85
2025,1,554,Control,44,2.3
2025,1,554,Control,45,1.55
2025,1,554,Control,47,1.35
2025,1,554,Control,48,1.65
2025,1,554,Control,49,2
2025,1,554,Control,50,2.5
2025,1,554,Control,51,2.8
2025,1,554,Control,52,3.05
2025,1,554,Control,54,1.7
2025,1,554,Control,55,2.35
2025,1,554,Control,56,1.8
2025,1,554,Control,57,2.85
2025,1,641,Late Mow,5,1.45
2025,1,641,Late Mow,6,0.9
2025,1,641,Late Mow,7,1.35
2025,1,642,Rosette Damage,1,0.85
2025,1,642,Rosette Damage,2,0.95
2025,1,642,Rosette Damage,3,1
2025,1,642,Rosette Damage,4,1.5
2025,1,642,Rosette Damage,5,2.05
2025,1,642,Rosette Damage,6,1.9
2025,1,642,Rosette Damage,7,1.55
2025,1,642,Rosette Damage,9,1.75
2025,1,642,Rosette Damage,10,1.85
2025,1,642,Rosette Damage,12,2.85
2025,1,642,Rosette Damage,14,2.15
2025,1,642,Rosette Damage,15,1.65
2025,1,642,Rosette Damage,16,1.3
2025,1,642,Rosette Damage,17,1.25
2025,1,642,Rosette Damage,18,1.85
2025,1,642,Rosette Damage,19,1.6
2025,1,642,Rosette Damage,20,1.55
2025,1,642,Rosette Damage,21,1.5
2025,1,642,Rosette Damage,22,1.35
2025,1,642,Rosette Damage,23,1.95
2025,1,642,Rosette Damage,24,1.6
2025,1,642,Rosette Damage,25,1.25
2025,1,642,Rosette Damage,26,1.7
2025,1,642,Rosette Damage,27,1.65
2025,1,642,Rosette Damage,29,1.55
2025,1,642,Rosette Damage,30,2
2025,1,642,Rosette Damage,31,1.3
2025,1,642,Rosette Damage,32,1
2025,1,642,Rosette Damage,34,2.2
2025,1,642,Rosette Damage,35,1.85
2025,1,642,Rosette Damage,36,1.75
2025,1,642,Rosette Damage,37,2.1
2025,1,642,Rosette Damage,38,1.65
2025,1,642,Rosette Damage,39,2.05
2025,1,642,Rosette Damage,40,2
2025,1,642,Rosette Damage,41,2.3
2025,1,642,Rosette Damage,42,2.95
2025,1,642,Rosette Damage,43,1.4
2025,1,642,Rosette Damage,44,1.85
2025,1,642,Rosette Damage,45,1.75
2025,1,642,Rosette Damage,46,1.65
2025,1,642,Rosette Damage,47,1.4
2025,1,642,Rosette Damage,48,2
2025,1,642,Rosette Damage,49,1.9
2025,1,642,Rosette Damage,50,1.3
2025,1,642,Rosette Damage,51,1.3
2025,1,642,Rosette Damage,52,1.5
2025,1,643,Rosette Damage/Early Mow,1,1.75
2025,1,643,Rosette Damage/Early Mow,2,1.95
2025,1,643,Rosette Damage/Early Mow,3,1.35
2025,1,643,Rosette Damage/Early Mow,4,1.7
2025,1,643,Rosette Damage/Early Mow,5,1.45
2025,1,643,Rosette Damage/Early Mow,6,1.85
2025,1,643,Rosette Damage/Early Mow,7,1.4
2025,1,643,Rosette Damage/Early Mow,8,1.75
2025,1,644,Early Mow/Late Mow,1,1.25
2025,1,644,Early Mow/Late Mow,2,2.1
2025,1,644,Early Mow/Late Mow,3,1.85
2025,1,644,Early Mow/Late Mow,4,1.9
2025,1,644,Early Mow/Late Mow,5,2.35
2025,1,644,Early Mow/Late Mow,6,1.75
2025,1,644,Early Mow/Late Mow,8,1.5
2025,1,644,Early Mow/Late Mow,9,2.25
2025,1,644,Early Mow/Late Mow,10,2.25
2025,1,644,Early Mow/Late Mow,11,2
2025,1,644,Early Mow/Late Mow,12,2.1
2025,1,644,Early Mow/Late Mow,13,1.7
2025,1,644,Early Mow/Late Mow,14,1.7
2025,1,644,Early Mow/Late Mow,15,1.8
2025,1,644,Early Mow/Late Mow,17,2.55
2025,1,644,Early Mow/Late Mow,18,1.05
2025,1,644,Early Mow/Late Mow,19,1.55
2025,1,644,Early Mow/Late Mow,20,1.5
2025,1,644,Early Mow/Late Mow,21,2
2025,1,644,Early Mow/Late Mow,22,1.75
2025,1,644,Early Mow/Late Mow,23,2.15
2025,1,661,Control,1,2.95
2025,1,661,Control,2,2.05
2025,1,661,Control,3,1.15
2025,1,661,Control,4,1.85
2025,1,661,Control,6,2.4
2025,1,661,Control,7,1.85
2025,1,662,Rosette Damage/Late Mow,5,1.2
2025,1,662,Rosette Damage/Late Mow,6,1.95
2025,1,662,Rosette Damage/Late Mow,7,1.8
2025,1,662,Rosette Damage/Late Mow,8,1.65
2025,1,662,Rosette Damage/Late Mow,9,1.55
2025,1,663,Late Mow,4,1.6
2025,1,663,Late Mow,5,1.75
2025,1,663,Late Mow,6,2.25
2025,1,663,Late Mow,7,1.95
2025,1,663,Late Mow,8,2.55
2025,1,663,Late Mow,9,2
2025,1,663,Late Mow,10,2.15
2025,1,663,Late Mow,11,1.75
2025,1,664,Rosette Damage/Early Mow,1,0.95
2025,1,664,Rosette Damage/Early Mow,2,1.8
2025,1,664,Rosette Damage/Early Mow,3,2.25
2025,1,664,Rosette Damage/Early Mow,4,1.2
2025,1,664,Rosette Damage/Early Mow,5,1.65
2025,1,664,Rosette Damage/Early Mow,6,1.35
2025,1,664,Rosette Damage/Early Mow,7,1.8
2025,1,664,Rosette Damage/Early Mow,9,2.15
2025,1,664,Rosette Damage/Early Mow,10,1.9
2025,1,664,Rosette Damage/Early Mow,11,1.85
2025,1,664,Rosette Damage/Early Mow,14,1.8
2025,1,664,Rosette Damage/Early Mow,15,1.5
2025,1,664,Rosette Damage/Early Mow,16,1.05
2025,1,711,Rosette Damage/Late Mow,1,1.55
