Year,Block,RGP,Treatment,RosDam,EarlyMow,LateMow,FinCap,FinMatureCap,FloweringDate_doe,FloweringDate_doy,HeightatFlowering,MaxCapitula,MaxCapitulaIncPreTrtSeedProducers,MaxHeight,LLLSpring,NoStemsFinal,NoStemsSpring
2025,2,1152,Rosette Damage/Early Mow/Late Mow,y,y,y,0,0,,,,0,0,8,25,0,1
2025,2,1153,Rosette Damage/Late Mow,y,n,y,0,0,,,,0,0,7,26,0,2
2025,2,1154,Late Mow,n,n,y,13,13,68,188,88,13,13,107,31,4,1
2025,2,1171,Early Mow/Late Mow,n,y,y,3,2,76,196,61,2,2,61,21,3,1
2025,2,1172,Late Mow,n,n,y,13,13,68,188,94,13,13,97,28,3,1
2025,2,1173,Rosette Damage/Early Mow,y,y,n,0,0,,,,0,0,11,17,0,1
2025,2,1174,Rosette Damage/Early Mow/Late Mow,y,y,y,15,9,68,188,96,9,9,111,33,5,1
2025,2,1221,Control,n,n,n,102,87,48,168,168,87,87,201,41,2,1
2025,2,1222,Rosette Damage/Early Mow/Late Mow,y,y,y,4,3,68,188,92,3,3,92,43,1,2
2025,2,1223,Late Mow,n,n,y,8,8,68,188,98,8,8,101,40,2,2
2025,2,1224,Rosette Damage,y,n,n,56,52,48,168,168,52,52,194,33,1,1
2025,2,1241,Rosette Damage/Late Mow,y,n,y,1,1,,,,1,1,32,26,1,1
2025,2,1242,Early Mow/Late Mow,n,y,y,26,23,68,188,111,23,23,120,26,2,1
2025,2,1243,Rosette Damage/Early Mow,y,y,n,11,10,61,181,85,10,10,92,32,2,1
2025,2,1244,Early Mow,n,y,n,25,20,61,181,88,20,20,102,33,5,1
2025,2,1261,Rosette Damage,y,n,n,37,37,54,174,135,37,37,157,34,2,2
2025,2,1262,Rosette Damage/Early Mow,y,y,n,9,7,68,188,74,7,7,90,27,3,1
2025,2,1263,Early Mow,n,y,n,28,24,61,181,117,24,24,133,32,6,1
2025,2,1264,Early Mow/Late Mow,n,y,y,3,2,83,203,72,2,2,87,18,2,1
2025,2,1281,Control,n,n,n,65,56,54,174,138,56,56,150,36,6,1
2025,2,1282,Rosette Damage/Late Mow,y,n,y,1,1,68,188,50,1,1,50,22,1,1
2025,2,1283,Early Mow,n,y,n,26,26,61,181,117,26,26,131,34,7,1
2025,2,1284,Rosette Damage,y,n,n,33,26,48,168,120,26,26,142,36,2,2
2024,1,511,Early Mow,n,y,n,,,64,186,62,7,7,67,19,1,1
2024,1,512,Control,n,n,n,,,49,171,107,11,11,112,18,2,1
2024,1,513,Rosette Damage,y,n,n,,,49,171,92,14,14,99,25,4,1
2024,1,514,Rosette Damage/Early Mow/Late Mow,y,y,y,,,64,186,70,15,15,72,28,4,2
2024,2,531,Control,n,n,n,,,40,162,105,9,9,115,15,1,1
2024,2,532,Rosette Damage/Late Mow,y,n,y,,,,,,0,0,6,19,1,1
2024,2,533,Early Mow/Late Mow,n,y,y,,,70,192,36,4,5,37,18,2,1
2024,2,534,Rosette Damage/Early Mow,y,y,n,,,64,186,62,11,11,64,20,3,1
2024,3,551,Control,n,n,n,,,35,157,125,21,21,180,24,1,1
2024,3,552,Early Mow/Late Mow,n,y,y,,,64,186,74,14,14,74,19,5,1
2024,3,553,Rosette Damage,y,n,n,,,40,162,117,9,9,119,18,1,1
2024,3,554,Late Mow,n,n,y,,,,,,2,3,10,22,0,1
2024,4,571,Rosette Damage/Early Mow,y,y,n,,,64,186,67,2,2,67,20,1,1
2024,4,572,Rosette Damage/Late Mow,y,n,y,,,,,,0,2,7,15,0,4
2024,4,573,Rosette Damage,y,n,n,,,40,162,66,8,8,68,17,2,2
2024,4,574,Late Mow,n,n,y,,,70,192,37,8,8,40,17,4,3
2024,1,621,Early Mow/Late Mow,n,y,y,,,,,,3,3,9,21,0,1
2024,1,622,Rosette Damage/Late Mow,y,n,y,,,,,,2,3,12,14,0,1
2024,1,623,Rosette Damage/Early Mow,y,y,n,,,64,186,59,5,5,64,20,3,1
2024,1,624,Late Mow,n,n,y,,,,,,0,4,5,20,0,1
2024,2,641,Rosette Damage/Early Mow/Late Mow,y,y,y,,,70,192,28,7,7,30,17,4,1
2024,2,642,Rosette Damage,y,n,n,,,49,171,95,10,10,95,21,1,1
2024,2,643,Early Mow,n,y,n,,,64,186,59,4,4,59,21,2,1
2024,2,644,Late Mow,n,n,y,,,,,,2,3,12,22,0,1
2024,3,661,Early Mow,n,y,n,,,64,186,61,5,5,61,19,3,1
2024,3,662,Rosette Damage/Late Mow,y,n,y,,,,,,1,3,9,22,0,1
2024,3,663,Rosette Damage/Early Mow/Late Mow,y,y,y,,,70,192,29,5,5,30,19,3,1
2024,3,664,Rosette Damage/Early Mow,y,y,n,,,70,192,32,4,4,32,14,3,1
2024,4,681,Early Mow/Late Mow,n,y,y,,,,,,3,3,17,18,3,1
2024,4,682,Control,n,n,n,,,40,162,101,11,11,113,17,1,1
2024,4,683,Early Mow,n,y,n,,,56,178,85,8,8,91,20,3,1
2024,4,684,Rosette Damage/Early Mow/Late Mow,y,y,y,,,77,199,24,5,5,24,23,2,1
2024,1,711,Rosette Damage,y,n,n,,,49,171,112,8,8,113,16,3,5
2024,1,712,Control,n,n,n,,,49,171,97,18,18,97,19,5,1
2024,1,713,Early Mow/Late Mow,n,y,y,,,,,,0,0,5,18,0,1
2024,1,714,Late Mow,n,n,y,,,,,,0,2,7,16,0,4
2024,2,731,Early Mow/Late Mow,n,y,y,,,70,192,23,2,2,23,22,1,1
2024,2,732,Early Mow,n,y,n,,,64,186,61,6,6,61,16,5,3
2024,2,733,Rosette Damage,y,n,n,,,56,178,94,11,11,94,21,1,1
2024,2,734,Rosette Damage/Early Mow,y,y,n,,,56,178,74,5,5,74,18,2,4
2024,3,751,Rosette Damage/Late Mow,y,n,y,,,,,,2,3,11,20,1,2
2024,3,752,Control,n,n,n,,,35,157,101,13,13,135,20,1,1
2024,3,753,Rosette Damage/Early Mow/Late Mow,y,y,y,,,77,199,20,3,3,21,19,2,1
2024,3,754,Rosette Damage/Early Mow,y,y,n,,,64,186,52,7,7,54,20,3,1
2024,4,771,Early Mow,n,y,n,,,64,186,43,5,5,49,13,3,1
2024,4,772,Rosette Damage/Late Mow,y,n,y,,,,,,0,0,6,17,0,1
2024,4,773,Rosette Damage,y,n,n,,,56,178,94,9,9,94,17,2,1
2024,4,774,Rosette Damage/Early Mow/Late Mow,y,y,y,,,64,186,22,3,3,24,16,1,1
2024,1,821,Rosette Damage/Early Mow,y,y,n,,,70,192,34,2,2,34,14,1,1
2024,1,822,Early Mow,n,y,n,,,64,186,45,6,6,46,17,3,1
2024,1,823,Rosette Damage/Late Mow,y,n,y,,,70,192,22,2,2,22,21,2,1
2024,1,824,Rosette Damage/Early Mow/Late Mow,y,y,y,,,70,192,12,2,2,13,14,2,1
2024,2,841,Rosette Damage/Early Mow/Late Mow,y,y,y,,,64,186,41,4,4,44,19,2,1
2024,2,842,Late Mow,n,n,y,,,70,192,43,7,9,43,21,3,1
2024,2,843,Rosette Damage/Late Mow,y,n,y,,,,,,0,2,7,17,0,1
2024,2,844,Control,n,n,n,,,49,171,108,16,16,108,19,3,1
2024,3,861,Late Mow,n,n,y,,,,,,3,5,9,19,0,1
2024,3,862,Rosette Damage,y,n,n,,,40,162,110,13,13,122,17,1,1
2024,3,863,Early Mow,n,y,n,,,,,,1,2,6,24,0,1
2024,3,864,Early Mow/Late Mow,n,y,y,,,70,192,11,3,3,11,16,1,1
2024,4,881,Rosette Damage/Early Mow,y,y,n,,,64,186,64,6,6,64,19,3,1
2024,4,884,Late Mow,n,n,y,,,,,,4,6,12,9,0,1
2024,1,911,Late Mow,n,n,y,,,,,,0,2,6,23,0,1
2024,1,912,Rosette Damage/Late Mow,y,n,y,,,,,,0,0,6,25,0,1
2024,1,913,Control,n,n,n,,,35,157,106,9,9,106,26,1,1
2024,1,914,Early Mow/Late Mow,n,y,y,,,64,186,32,3,3,32,23,2,1
2024,2,931,Rosette Damage/Early Mow,y,y,n,,,56,178,91,13,13,98,18,1,1
2024,2,932,Control,n,n,n,,,40,162,123,13,13,136,22,1,1
2024,2,933,Early Mow/Late Mow,n,y,y,,,56,178,49,10,10,59,22,4,3
2024,2,934,Early Mow,n,y,n,,,64,186,48,8,8,52,16,3,1
2024,3,951,Rosette Damage/Early Mow/Late Mow,y,y,y,,,70,192,21,2,2,21,22,2,1
2024,3,952,Control,n,n,n,,,35,157,109,13,13,130,19,1,1
2024,3,953,Rosette Damage/Late Mow,y,n,y,,,,,,1,2,8,21,0,1
2024,3,954,Early Mow/Late Mow,n,y,y,,,64,186,37,4,4,37,17,3,1
2024,4,971,Rosette Damage/Early Mow/Late Mow,y,y,y,,,64,186,52,4,4,53,19,2,1
2024,4,972,Rosette Damage/Early Mow,y,y,n,,,64,186,51,7,7,51,16,3,1
2024,4,973,Control,n,n,n,,,40,162,114,7,7,134,22,1,1
2024,4,974,Late Mow,n,n,y,,,70,192,28,2,3,28,18,2,1
2024,1,1021,Rosette Damage/Early Mow,y,y,n,,,64,186,32,3,3,32,20,3,1
2024,1,1022,Early Mow,n,y,n,,,64,186,54,5,5,54,19,3,1
2024,1,1023,Rosette Damage,y,n,n,,,35,157,108,14,14,133,20,1,1
2024,1,1024,Rosette Damage/Early Mow/Late Mow,y,y,y,,,,,,1,1,19,25,1,1
2024,2,1041,Rosette Damage,y,n,n,,,35,157,67,12,12,95,17,2,2
2024,2,1042,Rosette Damage/Late Mow,y,n,y,,,,,,0,2,6,16,0,1
2024,2,1043,Late Mow,n,n,y,,,,,,1,2,10,21,0,1
2024,2,1044,Rosette Damage/Early Mow/Late Mow,y,y,y,,,64,186,24,4,4,24,14,1,1
2024,3,1061,Late Mow,n,n,y,,,64,186,42,4,4,44,19,3,1
2024,3,1062,Rosette Damage/Early Mow,y,y,n,,,56,178,43,6,6,52,22,3,1
2024,3,1063,Early Mow,n,y,n,,,77,199,13,2,2,16,14,2,1
2024,3,1064,Rosette Damage,y,n,n,,,40,162,101,7,7,108,17,1,1
2024,4,1081,Early Mow,n,y,n,,,64,186,54,5,5,56,15,3,1
2024,4,1082,Rosette Damage,y,n,n,,,40,162,107,12,12,114,20,1,1
2024,4,1083,Early Mow/Late Mow,n,y,y,,,64,186,52,8,8,52,19,3,1
2024,4,1084,Rosette Damage/Late Mow,y,n,y,,,,,,1,2,12,21,0,1
