Block,RGP,Treatment,RosDam,EarlyMow,LateMow,FloweringDate_doe,FloweringDate_doy,HeightatFlowering,MaxCapitula,MaxCapitulaIncPreTrtSeedProducers,MaxHeight,LLLMay2,NoStemsFinal,NoStemsMay2
3,752,Control,n,n,n,35,157,101,13,13,135,20,1,1
3,753,Rosette Damage/Early Mow/Late Mow,y,y,y,77,199,20,3,3,21,19,2,1
3,754,Rosette Damage/Early Mow,y,y,n,64,186,52,7,7,54,20,3,1
4,771,Early Mow,n,y,n,64,186,43,5,5,49,13,3,1
4,772,Rosette Damage/Late Mow,y,n,y,,,,0,0,6,17,0,1
4,773,Rosette Damage,y,n,n,56,178,94,9,9,94,17,2,1
4,774,Rosette Damage/Early Mow/Late Mow,y,y,y,64,186,22,3,3,24,16,1,1
1,821,Rosette Damage/Early Mow,y,y,n,70,192,34,2,2,34,14,1,1
1,822,Early Mow,n,y,n,64,186,45,6,6,46,17,3,1
1,823,Rosette Damage/Late Mow,y,n,y,70,192,22,2,2,22,21,2,1
1,824,Rosette Damage/Early Mow/Late Mow,y,y,y,70,192,12,2,2,13,14,2,1
2,841,Rosette Damage/Early Mow/Late Mow,y,y,y,64,186,41,4,4,44,19,2,1
2,842,Late Mow,n,n,y,70,192,43,7,9,43,21,3,1
2,843,Rosette Damage/Late Mow,y,n,y,,,,0,2,7,17,0,1
2,844,Control,n,n,n,49,171,108,16,16,108,19,3,1
3,861,Late Mow,n,n,y,,,,3,5,9,19,0,1
3,862,Rosette Damage,y,n,n,40,162,110,13,13,122,17,1,1
3,863,Early Mow,n,y,n,,,,1,2,6,24,0,1
3,864,Early Mow/Late Mow,n,y,y,70,192,11,3,3,11,16,1,1
4,881,Rosette Damage/Early Mow,y,y,n,64,186,64,6,6,64,19,3,1
4,884,Late Mow,n,n,y,,,,4,6,12,9,0,1
1,911,Late Mow,n,n,y,,,,0,2,6,23,0,1
1,912,Rosette Damage/Late Mow,y,n,y,,,,0,0,6,25,0,1
1,913,Control,n,n,n,35,157,106,9,9,106,26,1,1
1,914,Early Mow/Late Mow,n,y,y,64,186,32,3,3,32,23,2,1
2,931,Rosette Damage/Early Mow,y,y,n,56,178,91,13,13,98,18,1,1
2,932,Control,n,n,n,40,162,123,13,13,136,22,1,1
2,933,Early Mow/Late Mow,n,y,y,56,178,49,10,10,59,22,4,3
2,934,Early Mow,n,y,n,64,186,48,8,8,52,16,3,1
3,951,Rosette Damage/Early Mow/Late Mow,y,y,y,70,192,21,2,2,21,22,2,1
3,952,Control,n,n,n,35,157,109,13,13,130,19,1,1
3,953,Rosette Damage/Late Mow,y,n,y,,,,1,2,8,21,0,1
3,954,Early Mow/Late Mow,n,y,y,64,186,37,4,4,37,17,3,1
4,971,Rosette Damage/Early Mow/Late Mow,y,y,y,64,186,52,4,4,53,19,2,1
4,972,Rosette Damage/Early Mow,y,y,n,64,186,51,7,7,51,16,3,1
4,973,Control,n,n,n,40,162,114,7,7,134,22,1,1
4,974,Late Mow,n,n,y,70,192,28,2,3,28,18,2,1
1,1021,Rosette Damage/Early Mow,y,y,n,64,186,32,3,3,32,20,3,1
1,1022,Early Mow,n,y,n,64,186,54,5,5,54,19,3,1
1,1023,Rosette Damage,y,n,n,35,157,108,14,14,133,20,1,1
1,1024,Rosette Damage/Early Mow/Late Mow,y,y,y,,,,1,1,19,25,1,1
2,1041,Rosette Damage,y,n,n,35,157,67,12,12,95,17,2,2
2,1042,Rosette Damage/Late Mow,y,n,y,,,,0,2,6,16,0,1
2,1043,Late Mow,n,n,y,,,,1,2,10,21,0,1
2,1044,Rosette Damage/Early Mow/Late Mow,y,y,y,64,186,24,4,4,24,14,1,1
3,1061,Late Mow,n,n,y,64,186,42,4,4,44,19,3,1
3,1062,Rosette Damage/Early Mow,y,y,n,56,178,43,6,6,52,22,3,1
3,1063,Early Mow,n,y,n,77,199,13,2,2,16,14,2,1
3,1064,Rosette Damage,y,n,n,40,162,101,7,7,108,17,1,1
4,1081,Early Mow,n,y,n,64,186,54,5,5,56,15,3,1
4,1082,Rosette Damage,y,n,n,40,162,107,12,12,114,20,1,1
4,1083,Early Mow/Late Mow,n,y,y,64,186,52,8,8,52,19,3,1
4,1084,Rosette Damage/Late Mow,y,n,y,,,,1,2,12,21,0,1
