Block,RGP,Treatment,Capitulum,AvgCapDia
1,554,Control,38,1.2
1,554,Control,39,2.1
1,554,Control,40,1.75
1,554,Control,41,2
1,554,Control,42,1.85
1,554,Control,44,2.3
1,554,Control,45,1.55
1,554,Control,47,1.35
1,554,Control,48,1.65
1,554,Control,49,2
1,554,Control,50,2.5
1,554,Control,51,2.8
1,554,Control,52,3.05
1,554,Control,54,1.7
1,554,Control,55,2.35
1,554,Control,56,1.8
1,554,Control,57,2.85
1,641,Late Mow,5,1.45
1,641,Late Mow,6,0.9
1,641,Late Mow,7,1.35
1,642,Rosette Damage,1,0.85
1,642,Rosette Damage,2,0.95
1,642,Rosette Damage,3,1
1,642,Rosette Damage,4,1.5
1,642,Rosette Damage,5,2.05
1,642,Rosette Damage,6,1.9
1,642,Rosette Damage,7,1.55
1,642,Rosette Damage,9,1.75
1,642,Rosette Damage,10,1.85
1,642,Rosette Damage,12,2.85
1,642,Rosette Damage,14,2.15
1,642,Rosette Damage,15,1.65
1,642,Rosette Damage,16,1.3
1,642,Rosette Damage,17,1.25
1,642,Rosette Damage,18,1.85
1,642,Rosette Damage,19,1.6
1,642,Rosette Damage,20,1.55
1,642,Rosette Damage,21,1.5
1,642,Rosette Damage,22,1.35
1,642,Rosette Damage,23,1.95
1,642,Rosette Damage,24,1.6
1,642,Rosette Damage,25,1.25
1,642,Rosette Damage,26,1.7
1,642,Rosette Damage,27,1.65
1,642,Rosette Damage,29,1.55
1,642,Rosette Damage,30,2
1,642,Rosette Damage,31,1.3
1,642,Rosette Damage,32,1
1,642,Rosette Damage,34,2.2
1,642,Rosette Damage,35,1.85
1,642,Rosette Damage,36,1.75
1,642,Rosette Damage,37,2.1
1,642,Rosette Damage,38,1.65
1,642,Rosette Damage,39,2.05
1,642,Rosette Damage,40,2
1,642,Rosette Damage,41,2.3
1,642,Rosette Damage,42,2.95
1,642,Rosette Damage,43,1.4
1,642,Rosette Damage,44,1.85
1,642,Rosette Damage,45,1.75
1,642,Rosette Damage,46,1.65
1,642,Rosette Damage,47,1.4
1,642,Rosette Damage,48,2
1,642,Rosette Damage,49,1.9
1,642,Rosette Damage,50,1.3
1,642,Rosette Damage,51,1.3
1,642,Rosette Damage,52,1.5
1,643,Rosette Damage/Early Mow,1,1.75
1,643,Rosette Damage/Early Mow,2,1.95
1,643,Rosette Damage/Early Mow,3,1.35
1,643,Rosette Damage/Early Mow,4,1.7
1,643,Rosette Damage/Early Mow,5,1.45
1,643,Rosette Damage/Early Mow,6,1.85
1,643,Rosette Damage/Early Mow,7,1.4
1,643,Rosette Damage/Early Mow,8,1.75
1,644,Early Mow/Late Mow,1,1.25
1,644,Early Mow/Late Mow,2,2.1
1,644,Early Mow/Late Mow,3,1.85
1,644,Early Mow/Late Mow,4,1.9
1,644,Early Mow/Late Mow,5,2.35
1,644,Early Mow/Late Mow,6,1.75
1,644,Early Mow/Late Mow,8,1.5
1,644,Early Mow/Late Mow,9,2.25
1,644,Early Mow/Late Mow,10,2.25
1,644,Early Mow/Late Mow,11,2
1,644,Early Mow/Late Mow,12,2.1
1,644,Early Mow/Late Mow,13,1.7
1,644,Early Mow/Late Mow,14,1.7
1,644,Early Mow/Late Mow,15,1.8
1,644,Early Mow/Late Mow,17,2.55
1,644,Early Mow/Late Mow,18,1.05
1,644,Early Mow/Late Mow,19,1.55
1,644,Early Mow/Late Mow,20,1.5
1,644,Early Mow/Late Mow,21,2
1,644,Early Mow/Late Mow,22,1.75
1,644,Early Mow/Late Mow,23,2.15
1,661,Control,1,2.95
1,661,Control,2,2.05
1,661,Control,3,1.15
1,661,Control,4,1.85
1,661,Control,6,2.4
1,661,Control,7,1.85
1,662,Rosette Damage/Late Mow,5,1.2
1,662,Rosette Damage/Late Mow,6,1.95
1,662,Rosette Damage/Late Mow,7,1.8
1,662,Rosette Damage/Late Mow,8,1.65
1,662,Rosette Damage/Late Mow,9,1.55
1,663,Late Mow,4,1.6
1,663,Late Mow,5,1.75
1,663,Late Mow,6,2.25
1,663,Late Mow,7,1.95
1,663,Late Mow,8,2.55
1,663,Late Mow,9,2
1,663,Late Mow,10,2.15
1,663,Late Mow,11,1.75
1,664,Rosette Damage/Early Mow,1,0.95
1,664,Rosette Damage/Early Mow,2,1.8
1,664,Rosette Damage/Early Mow,3,2.25
1,664,Rosette Damage/Early Mow,4,1.2
1,664,Rosette Damage/Early Mow,5,1.65
1,664,Rosette Damage/Early Mow,6,1.35
1,664,Rosette Damage/Early Mow,7,1.8
1,664,Rosette Damage/Early Mow,9,2.15
1,664,Rosette Damage/Early Mow,10,1.9
1,664,Rosette Damage/Early Mow,11,1.85
1,664,Rosette Damage/Early Mow,14,1.8
1,664,Rosette Damage/Early Mow,15,1.5
1,664,Rosette Damage/Early Mow,16,1.05
1,711,Rosette Damage/Late Mow,1,1.55
1,711,Rosette Damage/Late Mow,2,1.35
1,712,Early Mow,3,1.9
1,712,Early Mow,4,1.6
1,712,Early Mow,6,1.65
1,712,Early Mow,7,1.85
1,712,Early Mow,8,1.5
1,712,Early Mow,9,1.9
1,712,Early Mow,10,1.5
1,712,Early Mow,11,1.1
1,712,Early Mow,12,1.6
1,712,Early Mow,13,1.7
1,712,Early Mow,14,2.25
1,712,Early Mow,18,2.15
1,712,Early Mow,19,1.8
1,712,Early Mow,20,1.95
1,712,Early Mow,21,1.25
1,712,Early Mow,22,1.05
1,712,Early Mow,23,1.7
1,712,Early Mow,24,1.85
1,712,Early Mow,25,1.55
1,712,Early Mow,26,1.45
1,712,Early Mow,27,1.85
1,712,Early Mow,28,1.15
1,712,Early Mow,29,1.4
1,712,Early Mow,30,1.95
1,712,Early Mow,31,1.8
1,712,Early Mow,32,1.65
1,712,Early Mow,33,1.4
1,712,Early Mow,34,1.6
1,712,Early Mow,36,1.75
1,712,Early Mow,37,1.75
1,712,Early Mow,38,2.25
1,712,Early Mow,39,0.95
1,712,Early Mow,40,1.85
1,712,Early Mow,41,1.7
1,712,Early Mow,42,1.9
1,712,Early Mow,43,2.05
1,712,Early Mow,44,0.85
1,712,Early Mow,45,1.8
1,712,Early Mow,46,1.5
1,712,Early Mow,47,2.45
1,712,Early Mow,48,1.7
1,712,Early Mow,49,1.9
1,712,Early Mow,50,2.45
1,712,Early Mow,51,2.3
1,712,Early Mow,52,1.9
1,712,Early Mow,53,2
1,712,Early Mow,54,1.15
1,712,Early Mow,55,1
1,712,Early Mow,56,2.1
1,712,Early Mow,57,1.85
1,712,Early Mow,58,1.9
1,712,Early Mow,59,2.5
1,713,Rosette Damage/Early Mow,1,1.5
1,713,Rosette Damage/Early Mow,2,1.8
1,713,Rosette Damage/Early Mow,3,1.4
1,713,Rosette Damage/Early Mow,4,1.15
1,713,Rosette Damage/Early Mow,5,1.65
1,713,Rosette Damage/Early Mow,6,1.65
1,713,Rosette Damage/Early Mow,7,1.35
1,713,Rosette Damage/Early Mow,8,2.15
1,713,Rosette Damage/Early Mow,9,1.8
1,713,Rosette Damage/Early Mow,10,2
1,714,Rosette Damage,3,2.3
1,714,Rosette Damage,4,2.3
1,714,Rosette Damage,5,1.95
1,714,Rosette Damage,6,2.25
1,714,Rosette Damage,7,1.8
1,714,Rosette Damage,8,1.85
1,714,Rosette Damage,9,1.7
1,714,Rosette Damage,10,2.2
1,714,Rosette Damage,11,1.55
1,714,Rosette Damage,12,2.4
1,714,Rosette Damage,14,1.8
1,714,Rosette Damage,15,1.65
1,751,Rosette Damage,1,1.35
1,751,Rosette Damage,2,2.3
1,751,Rosette Damage,3,1.85
1,751,Rosette Damage,4,1.85
1,751,Rosette Damage,5,1.6
1,751,Rosette Damage,6,1.85
1,751,Rosette Damage,7,1.35
1,751,Rosette Damage,8,2
1,751,Rosette Damage,9,2
1,751,Rosette Damage,10,2.2
1,751,Rosette Damage,11,1.6
1,751,Rosette Damage,12,1.75
1,751,Rosette Damage,13,2.15
1,751,Rosette Damage,14,2
1,751,Rosette Damage,15,1.7
1,751,Rosette Damage,16,2.05
1,751,Rosette Damage,17,1.15
1,751,Rosette Damage,18,1.7
1,751,Rosette Damage,19,1.9
1,751,Rosette Damage,20,2
1,751,Rosette Damage,21,1.75
1,752,Rosette Damage/Early Mow/Late Mow,3,2
1,752,Rosette Damage/Early Mow/Late Mow,4,1.95
1,752,Rosette Damage/Early Mow/Late Mow,5,1.4
1,753,Early Mow,1,0.65
1,753,Early Mow,2,2.7
1,753,Early Mow,3,1.75
1,753,Early Mow,4,1.45
1,753,Early Mow,5,1.45
1,753,Early Mow,6,1.6
1,753,Early Mow,7,2.15
1,753,Early Mow,8,1.75
1,753,Early Mow,9,1.65
1,753,Early Mow,10,2.5
1,753,Early Mow,11,1.1
1,753,Early Mow,12,1.4
1,753,Early Mow,13,2.15
1,753,Early Mow,14,1.65
1,753,Early Mow,15,2.15
1,753,Early Mow,16,1.8
1,753,Early Mow,17,2.35
1,753,Early Mow,18,1.65
1,753,Early Mow,19,1.85
1,753,Early Mow,20,1.8
1,753,Early Mow,22,1.45
1,753,Early Mow,23,1.95
1,753,Early Mow,24,1.95
1,753,Early Mow,25,1.05
1,753,Early Mow,26,2.15
1,753,Early Mow,27,1.45
1,753,Early Mow,28,1.1
1,753,Early Mow,29,2.15
1,753,Early Mow,30,1.95
1,753,Early Mow,31,1.65
1,753,Early Mow,33,1.85
1,753,Early Mow,35,1.45
1,753,Early Mow,36,2.15
1,753,Early Mow,37,2.15
1,753,Early Mow,38,1.55
1,753,Early Mow,39,1.2
1,753,Early Mow,40,1.9
1,754,Early Mow/Late Mow,1,1.3
1,754,Early Mow/Late Mow,2,1.4
1,754,Early Mow/Late Mow,4,1.75
1,754,Early Mow/Late Mow,5,1.7
1,754,Early Mow/Late Mow,6,1.2
1,754,Early Mow/Late Mow,7,1.35
1,754,Early Mow/Late Mow,8,1.5
1,861,Control,2,2.3
1,861,Control,3,3
1,861,Control,4,2.35
1,861,Control,5,1.8
1,861,Control,6,2.45
1,861,Control,7,2.2
1,861,Control,8,1.45
1,861,Control,9,1.45
1,861,Control,10,2.45
1,861,Control,11,1.5
1,861,Control,12,1.7
1,861,Control,13,2.4
1,861,Control,14,3.25
1,861,Control,15,2.2
1,861,Control,16,3.15
1,861,Control,17,2.6
1,861,Control,18,2
1,861,Control,19,1.7
1,861,Control,20,2
1,861,Control,21,3.25
1,861,Control,22,1.85
1,861,Control,23,2.95
1,861,Control,24,1.85
1,861,Control,25,2.45
1,861,Control,26,1.8
1,861,Control,27,1.5
1,861,Control,28,2.35
1,861,Control,30,1.35
1,861,Control,31,2.1
1,861,Control,32,1.3
1,861,Control,33,1.6
1,861,Control,34,2.4
1,861,Control,35,2.4
1,861,Control,36,1.2
1,861,Control,37,1.8
1,861,Control,38,1.65
1,861,Control,39,2.15
1,861,Control,40,1.55
1,861,Control,41,1.65
1,861,Control,42,1.65
1,861,Control,43,1.15
1,861,Control,44,1.65
1,861,Control,45,2.1
1,861,Control,46,2.25
1,861,Control,47,2.8
1,861,Control,48,1.6
1,861,Control,49,1.4
1,862,Late Mow,1,1.55
1,862,Late Mow,2,1.4
1,862,Late Mow,3,1.85
1,862,Late Mow,4,1.25
1,862,Late Mow,5,0.95
1,862,Late Mow,6,2
1,862,Late Mow,7,1.75
1,862,Late Mow,8,1.7
1,862,Late Mow,9,1.85
1,862,Late Mow,10,2.1
1,862,Late Mow,11,2
1,862,Late Mow,12,1.85
1,862,Late Mow,14,1.9
1,862,Late Mow,15,1.75
1,862,Late Mow,17,1.75
1,863,Rosette Damage/Early Mow/Late Mow,2,2.25
1,863,Rosette Damage/Early Mow/Late Mow,3,1.55
1,863,Rosette Damage/Early Mow/Late Mow,4,1.5
1,863,Rosette Damage/Early Mow/Late Mow,5,1.7
1,864,Rosette Damage/Early Mow,1,1.65
1,864,Rosette Damage/Early Mow,2,1.35
1,864,Rosette Damage/Early Mow,3,1.45
1,864,Rosette Damage/Early Mow,4,1.55
1,881,Early Mow,1,1.85
1,881,Early Mow,2,2
1,881,Early Mow,3,1.8
1,881,Early Mow,4,1.4
1,881,Early Mow,5,1.55
1,881,Early Mow,6,2.1
1,881,Early Mow,7,2.1
1,881,Early Mow,8,2.15
1,881,Early Mow,9,2
1,881,Early Mow,10,1.9
1,881,Early Mow,11,1.95
1,882,Rosette Damage/Late Mow,0,
1,883,Early Mow/Late Mow,2,1.1
1,883,Early Mow/Late Mow,3,1.55
1,883,Early Mow/Late Mow,4,1.4
1,883,Early Mow/Late Mow,5,2.05
1,884,Rosette Damage,1,1.05
1,864,Rosette Damage,1,2.15
1,884,Rosette Damage,2,1.95
1,884,Rosette Damage,5,1.75
1,884,Rosette Damage,6,3.2
1,884,Rosette Damage,7,2.1
1,884,Rosette Damage,8,1.1
1,884,Rosette Damage,9,1.95
1,884,Rosette Damage,10,1.8
1,884,Rosette Damage,11,2.55
1,884,Rosette Damage,12,1.4
1,884,Rosette Damage,13,1.8
1,884,Rosette Damage,14,1.95
1,884,Rosette Damage,15,1.4
1,884,Rosette Damage,16,1.35
1,884,Rosette Damage,17,1.1
1,884,Rosette Damage,19,2.05
1,884,Rosette Damage,20,2
1,884,Rosette Damage,22,1.4
1,884,Rosette Damage,24,1.8
1,884,Rosette Damage,25,1.85
1,884,Rosette Damage,26,1.9
1,884,Rosette Damage,27,1.15
1,884,Rosette Damage,30,1.7
1,884,Rosette Damage,31,1.8
1,884,Rosette Damage,32,2.2
1,884,Rosette Damage,33,2.85
1,884,Rosette Damage,34,2.05
1,884,Rosette Damage,35,1.8
1,884,Rosette Damage,36,2.2
1,884,Rosette Damage,37,1.7
1,884,Rosette Damage,38,1.95
2,911,Early Mow,1,1.2
2,911,Early Mow,2,1.45
2,911,Early Mow,3,1.95
2,911,Early Mow,4,1.85
2,912,Rosette Damage,1,2.15
2,912,Rosette Damage,2,0.75
2,912,Rosette Damage,3,1.85
2,912,Rosette Damage,4,2.4
2,912,Rosette Damage,5,2.15
2,912,Rosette Damage,6,2.1
2,912,Rosette Damage,7,2.05
2,912,Rosette Damage,8,1.3
2,912,Rosette Damage,9,1.4
2,912,Rosette Damage,10,1.6
2,912,Rosette Damage,11,2.25
2,912,Rosette Damage,12,1.55
2,912,Rosette Damage,13,2.1
2,912,Rosette Damage,14,1.5
2,912,Rosette Damage,15,2.3
2,912,Rosette Damage,16,1.35
2,912,Rosette Damage,17,3.45
2,912,Rosette Damage,18,2.55
2,912,Rosette Damage,19,1.15
2,912,Rosette Damage,20,2.1
2,912,Rosette Damage,21,2.9
2,912,Rosette Damage,22,1.95
2,912,Rosette Damage,23,1.25
2,912,Rosette Damage,24,2.25
2,912,Rosette Damage,25,2.15
2,912,Rosette Damage,26,2.05
2,912,Rosette Damage,27,2.85
2,912,Rosette Damage,29,2.3
2,912,Rosette Damage,30,1.3
2,912,Rosette Damage,31,2
2,912,Rosette Damage,33,0.95
2,913,Rosette Damage/Late Mow,0,
2,914,Control,1,2.2
2,914,Control,2,1.85
2,914,Control,3,2.1
2,914,Control,4,2.05
2,914,Control,5,1.2
2,914,Control,6,2.1
2,914,Control,7,1.95
2,914,Control,8,2.05
2,914,Control,9,2.15
2,914,Control,10,0.95
2,914,Control,11,2.3
2,914,Control,12,1.85
2,914,Control,13,2
2,914,Control,14,1.9
2,914,Control,15,1.4
2,914,Control,16,2.15
2,914,Control,18,2
2,914,Control,19,2.2
2,914,Control,20,1.8
2,914,Control,21,1.85
2,931,Rosette Damage/Early Mow/Late Mow,1,1.75
2,931,Rosette Damage/Early Mow/Late Mow,2,1.9
2,931,Rosette Damage/Early Mow/Late Mow,3,2.15
2,931,Rosette Damage/Early Mow/Late Mow,5,1.8
2,931,Rosette Damage/Early Mow/Late Mow,6,1.1
2,931,Rosette Damage/Early Mow/Late Mow,9,1.45
2,931,Rosette Damage/Early Mow/Late Mow,10,2.15
2,931,Rosette Damage/Early Mow/Late Mow,11,2.15
2,931,Rosette Damage/Early Mow/Late Mow,12,2.15
2,931,Rosette Damage/Early Mow/Late Mow,13,1.85
2,931,Rosette Damage/Early Mow/Late Mow,14,2.05
2,931,Rosette Damage/Early Mow/Late Mow,15,1.8
2,931,Rosette Damage/Early Mow/Late Mow,16,1.8
2,932,Rosette Damage/Early Mow,1,1.7
2,932,Rosette Damage/Early Mow,2,1.75
2,932,Rosette Damage/Early Mow,3,1.75
2,932,Rosette Damage/Early Mow,4,1.9
2,932,Rosette Damage/Early Mow,6,0.75
2,932,Rosette Damage/Early Mow,7,1.65
2,932,Rosette Damage/Early Mow,8,2.05
2,932,Rosette Damage/Early Mow,9,1.75
2,932,Rosette Damage/Early Mow,10,1.35
2,932,Rosette Damage/Early Mow,11,1.7
2,933,Early Mow,2,1.7
2,933,Early Mow,3,1.85
2,933,Early Mow,4,1.95
2,933,Early Mow,6,1.95
2,933,Early Mow,7,2.2
2,933,Early Mow,8,1
2,933,Early Mow,9,1.85
2,933,Early Mow,10,1.9
2,933,Early Mow,11,2
2,933,Early Mow,12,1.75
2,933,Early Mow,13,1.85
2,933,Early Mow,14,1
2,933,Early Mow,15,1.85
2,933,Early Mow,16,1.75
2,933,Early Mow,17,1.3
2,933,Early Mow,18,1.7
2,933,Early Mow,19,1.25
2,933,Early Mow,20,2
2,933,Early Mow,21,1.45
2,933,Early Mow,22,2.4
2,933,Early Mow,23,1.95
2,933,Early Mow,24,2.15
2,933,Early Mow,25,2
2,933,Early Mow,26,1.95
2,933,Early Mow,28,2
2,933,Early Mow,29,1.55
2,933,Early Mow,31,1.55
2,933,Early Mow,32,0.95
2,933,Early Mow,33,1.6
2,933,Early Mow,34,2
2,933,Early Mow,35,1.85
2,933,Early Mow,36,1.85
2,933,Early Mow,37,1.65
2,933,Early Mow,38,1.9
2,933,Early Mow,40,2.25
2,933,Early Mow,41,1.8
2,933,Early Mow,42,2.15
2,933,Early Mow,43,1.9
2,933,Early Mow,44,1.85
2,933,Early Mow,45,2.2
2,933,Early Mow,46,1.95
2,933,Early Mow,47,1.85
2,933,Early Mow,48,2.35
2,934,Late Mow,3,1.15
2,934,Late Mow,4,1.15
2,934,Late Mow,5,1.45
2,934,Late Mow,6,1.15
2,934,Late Mow,7,0.95
2,934,Late Mow,8,1.85
2,934,Late Mow,9,1.9
2,934,Late Mow,10,1.5
2,934,Late Mow,11,1.2
2,934,Late Mow,12,2
2,934,Late Mow,13,1.3
2,934,Late Mow,14,1.65
2,934,Late Mow,15,1.7
2,934,Late Mow,16,1.75
2,951,Rosette Damage/Early Mow,1,1.4
2,951,Rosette Damage/Early Mow,2,1.8
2,951,Rosette Damage/Early Mow,3,1.7
2,951,Rosette Damage/Early Mow,4,1.75
2,952,Control,1,2.1
2,952,Control,2,2.15
2,952,Control,3,2.7
2,952,Control,5,1.7
2,952,Control,6,1.95
2,952,Control,7,2.45
2,952,Control,8,2.05
2,952,Control,9,2
2,952,Control,10,2
2,952,Control,11,2.15
2,952,Control,12,1.7
2,952,Control,14,2.95
2,952,Control,15,1.6
2,952,Control,16,2.3
2,952,Control,17,1.65
2,952,Control,18,1.1
2,952,Control,19,1.95
2,953,Late Mow,3,1.45
2,953,Late Mow,4,1.5
2,953,Late Mow,5,1.5
2,954,Rosette Damage/Late Mow,0,
2,971,Rosette Damage,2,1.9
2,971,Rosette Damage,4,2.1
2,971,Rosette Damage,5,1.4
2,971,Rosette Damage,6,2.2
2,971,Rosette Damage,7,2.6
2,971,Rosette Damage,9,1.45
2,971,Rosette Damage,10,1.9
2,971,Rosette Damage,11,1.8
2,971,Rosette Damage,12,1.6
2,972,Control,4,0.95
2,972,Control,5,0.8
2,972,Control,6,2.25
2,972,Control,7,1.6
2,972,Control,8,2
2,972,Control,9,1.95
2,972,Control,10,1
2,972,Control,11,1.85
2,972,Control,12,2.3
2,972,Control,13,2.2
2,972,Control,14,1.35
2,972,Control,15,1.4
2,972,Control,16,1.9
2,972,Control,17,1.75
2,972,Control,18,1.5
2,972,Control,19,2
2,972,Control,20,0.7
2,972,Control,21,1.35
2,972,Control,22,2.05
2,972,Control,23,1.05
2,972,Control,24,1.6
2,972,Control,25,1.35
2,972,Control,26,1.95
2,972,Control,27,1.9
2,972,Control,28,1.7
2,972,Control,32,0.95
2,972,Control,33,1.4
2,972,Control,34,1.35
2,972,Control,35,1.9
2,972,Control,36,2.35
2,972,Control,37,1.05
2,972,Control,38,2.2
2,972,Control,39,1.1
2,972,Control,40,2.1
2,972,Control,41,2.3
2,972,Control,42,2.5
2,972,Control,43,1.9
2,973,Early Mow/Late Mow,2,2.05
2,973,Early Mow/Late Mow,3,1.3
2,973,Early Mow/Late Mow,4,1
2,973,Early Mow/Late Mow,5,1.3
2,973,Early Mow/Late Mow,6,2
2,973,Early Mow/Late Mow,7,2.15
2,973,Early Mow/Late Mow,8,1.85
2,973,Early Mow/Late Mow,9,1.6
2,973,Early Mow/Late Mow,10,1.5
2,973,Early Mow/Late Mow,11,1.4
2,973,Early Mow/Late Mow,12,1.7
2,973,Early Mow/Late Mow,13,1.6
2,973,Early Mow/Late Mow,14,1.9
2,973,Early Mow/Late Mow,15,1.9
2,974,Rosette Damage/Early Mow/Late Mow,4,1.25
2,1021,Rosette Damage/Early Mow/Late Mow,0,
2,1022,Rosette Damage/Early Mow,1,0.85
2,1022,Rosette Damage/Early Mow,2,1.55
2,1022,Rosette Damage/Early Mow,3,1.75
2,1022,Rosette Damage/Early Mow,4,2.2
2,1022,Rosette Damage/Early Mow,5,1.7
2,1022,Rosette Damage/Early Mow,6,1.95
2,1022,Rosette Damage/Early Mow,7,1.55
2,1022,Rosette Damage/Early Mow,8,2.1
2,1022,Rosette Damage/Early Mow,9,1.2
2,1022,Rosette Damage/Early Mow,10,1.65
2,1023,Late Mow,0,
2,1024,Early Mow/Late Mow,2,1.35
2,1024,Early Mow/Late Mow,3,1.6
2,1024,Early Mow/Late Mow,4,1.8
2,1024,Early Mow/Late Mow,5,1.1
2,1024,Early Mow/Late Mow,6,1.9
2,1024,Early Mow/Late Mow,7,1.75
2,1024,Early Mow/Late Mow,8,1.85
2,1024,Early Mow/Late Mow,9,1.55
2,1024,Early Mow/Late Mow,10,1.85
2,1024,Early Mow/Late Mow,11,1.75
2,1024,Early Mow/Late Mow,12,1.6
2,1024,Early Mow/Late Mow,13,1.15
2,1024,Early Mow/Late Mow,14,1.45
2,1024,Early Mow/Late Mow,15,1.1
2,1024,Early Mow/Late Mow,16,1.8
2,1041,Rosette Damage,1,0.75
2,1041,Rosette Damage,2,1.75
2,1041,Rosette Damage,3,1.55
2,1041,Rosette Damage,4,1.8
2,1041,Rosette Damage,5,2
2,1041,Rosette Damage,6,2.05
2,1041,Rosette Damage,7,1.85
2,1041,Rosette Damage,8,2.1
2,1041,Rosette Damage,9,1.3
2,1041,Rosette Damage,10,1.5
2,1041,Rosette Damage,11,1.9
2,1041,Rosette Damage,12,1.3
2,1041,Rosette Damage,13,1.85
2,1041,Rosette Damage,14,1.8
2,1041,Rosette Damage,15,1.45
2,1041,Rosette Damage,16,2
2,1041,Rosette Damage,17,1.55
2,1041,Rosette Damage,19,1.75
2,1041,Rosette Damage,20,1.6
2,1041,Rosette Damage,21,2.05
2,1041,Rosette Damage,22,1.25
2,1041,Rosette Damage,23,1.5
2,1041,Rosette Damage,24,2.85
2,1042,Control,1,1.9
2,1042,Control,2,2
2,1042,Control,3,1.6
2,1042,Control,4,1.5
2,1042,Control,5,2.6
2,1042,Control,6,1.7
2,1043,Early Mow/Late Mow,0,
2,1044,Rosette Damage/Late Mow,0,
2,1061,Early Mow/Late Mow,1,0.45
2,1061,Early Mow/Late Mow,2,1.15
2,1061,Early Mow/Late Mow,3,2.25
2,1061,Early Mow/Late Mow,4,1.2
2,1061,Early Mow/Late Mow,5,1.7
2,1061,Early Mow/Late Mow,6,1.3
2,1061,Early Mow/Late Mow,7,1.7
2,1061,Early Mow/Late Mow,8,1.3
2,1061,Early Mow/Late Mow,9,1.75
2,1061,Early Mow/Late Mow,10,1.95
2,1061,Early Mow/Late Mow,11,2
2,1061,Early Mow/Late Mow,12,1.45
2,1061,Early Mow/Late Mow,13,1.85
2,1061,Early Mow/Late Mow,14,1.45
